NPC ID,아이템 ID,아이템 명,가격,재고수량
1200002,100002,당근 씨앗,10,-1
1200002,100003,옥수수 씨앗,20,-1
1200002,100004,양파 씨앗,30,-1
1200002,100005,감자 씨앗,40,-1
1200002,100006,호박 씨앗,50,-1
1200002,100007,토마토 씨앗,60,-1
1200002,100008,밀 씨앗,70,-1
1200003,200016,숲 정렬 카레,25,1
1200003,200017,고요 향 수프,25,1
1200003,200018,열매 밤 카레,25,1
1200003,200019,열매 차가움 볶음,25,1
1200003,200020,정령 숲 리조또,25,1
1200003,200021,평원 달콤 카레,25,1
1200003,200022,정령 단단함 구이,25,1
1200003,200023,탄수 대지 구이,25,1
1200003,200024,정령 야생 피자,25,1
1200003,200025,심장 소스 파이,25,1
1200003,200026,심장 정령 리조또,25,1
1200003,200027,빵 열매 스테이크,25,1
1200003,200028,어둠 향 리조또,25,1
1200003,200029,비밀 꽃 수프,25,1
1200003,200030,대지 차가움 볶음,25,1
1200003,200031,고요 비밀 카레,25,1
1200003,200032,어둠 햇살 볶음,25,1
1200003,200033,향 비밀 찜,25,1
1200003,200034,정령 어둠 파이,25,1
1200003,200035,잎새 노을 리조도,25,1
1200003,200036,어둠 향 볶음,25,1
1200003,200037,곡물 비밀 찜,25,1
1200003,200038,스테이크 피 구이,25,1
1200003,200039,마법 꽃 스테이크,25,1
1200003,200040,냉기 마법 파이,25,1
1200003,200041,빛 주황 리조또,25,1
1200003,200042,햇살 빛 볶음,25,1
1200003,200043,밤 눈물 수프,25,1
1200003,200044,탄수 구이 스테이크,25,1
1200003,200045,달빛 피자,25,1
1200003,200046,심장 밤 구이,25,1
1200003,200047,하늘빛 피자,25,1
1200003,200048,광기 심장 카레,25,1
1200003,200049,차가움 뿌리 찜,25,1
1200003,200050,기본 냉기 스테이크,25,1
1200003,200051,차가움 평원 파이,25,1
1200003,200052,서늘 뿌리 스튜,25,1
1200003,200053,냉기 탄수 파이,25,1
1200003,200054,대지 노을 피자,25,1
1200003,200055,햇살 냉기 리조또,25,1
1200003,200056,곡물 냉기 파이,25,1
1200003,200057,대지 심장 수프,25,1
1200003,200058,태양 당근 찜,25,1
1200003,200059,햇살 정원 찜,25,1
1200003,200060,은밀한 양파 볶음,25,1
1200003,200061,은밀한 감자 조림,25,1
1200003,200062,주황빛 달빛 카레,25,1
1200003,200063,피의 계약 스튜,25,1
1200003,200064,황금빛 당근빵,25,1
1200003,200065,건강 계약 구이,25,1
1200003,200066,황금 옥수수 수프,25,1
1200003,200067,바람개비 퓨전 찜,25,1
1200003,200068,평원의 전사 조림,25,1
1200003,200069,풍요의 늪 파이,25,1
1200003,200070,붉은 노을 볶음,25,1
1200003,200071,옥수수 파삭빵,25,1
1200003,200072,황금 스테이크 리조또,25,1
1200003,200073,눈물의 진실 수프,25,1
1200003,200074,눈물의 회복 스튜,25,1
1200003,200075,어스름의 향 파이,25,1
1200003,200076,진실의 토마토 수프,25,1
1200003,200077,빛나는 양파빵,25,1
1200003,200078,단단한 겹 파이,25,1
1200003,200079,대지의 감자 구이,25,1
1200003,200080,뿌리와 열매의 찜,25,1
1200003,200081,붉은 뿌리 스튜,25,1
1200003,200082,용맹한 기사의 빵,25,1
1200003,200083,피 든든 수프,25,1
1200003,200084,쌍둥이 호박 파이,25,1
1200003,200085,가을의 피자,25,1
1200003,200086,고요한 엘프의 빵,25,1
1200003,200087,노을 달콤 볶음,25,1
1200003,200088,붉은 심장 리조또,25,1
1200003,200089,토마토 파스타,25,1
1200003,200090,붉은 햇살 스테이크,25,1
1200003,200091,천상의 밀떡,25,1
1200003,200092,도우 피 카레,25,1
1200003,200093,스테이크 계약 스튜,25,1
