ID,Ingredient 1 ID,Ingredient 2 ID,Result ID,Recipe Name, Ingredient1,Ingredient2
300001,200001,200001,200029,질서의 숲 카레,야생 베리,야생 베리
300002,200001,200002,200030,고요의 향 수프,야생 베리,밤 버섯
300003,200001,200003,200031,달빛 과실 카레,야생 베리,달빛 꽃
300004,200001,200004,200032,서리 열매 볶음,야생 베리,서늘 뿌리
300005,200001,200005,200033,정령 숲 리조또,야생 베리,당근
300006,200001,200006,200034,평원의 단맛 카레,야생 베리,옥수수
300007,200001,200007,200035,정령의 인내 구이,야생 베리,양파
300008,200001,200008,200036,곡물 대지 스테이크,야생 베리,감자
300009,200001,200009,200037,야생의 정령 피자,야생 베리,호박
300010,200001,200010,200038,드워프의 심장 파이,야생 베리,토마토
300011,200001,200011,200039,예언의 제물 리조또,야생 베리,밀
300012,200001,200014,200040,노을 열매 스테이크,야생 베리,몬스터 고기
300013,200002,200002,200041,달그림자 빵,밤 버섯,밤 버섯
300014,200002,200003,200042,진실의 꽃 수프,밤 버섯,달빛 꽃
300015,200002,200004,200043,서늘한 대지 볶음,밤 버섯,서늘 뿌리
300016,200002,200005,200044,늑대의 밤 카레,밤 버섯,당근
300017,200002,200006,200045,그림자 햇살 볶음,밤 버섯,옥수수
300018,200002,200007,200046,신의 향 찜,밤 버섯,양파
300019,200002,200008,200047,어둠 정령 파이,밤 버섯,감자
300020,200002,200009,200048,노을빛 잎새 리조또,밤 버섯,호박
300021,200002,200010,200049,망자의 안식 볶음,밤 버섯,토마토
300022,200002,200011,200050,방패 곡물 찜,밤 버섯,밀
300023,200002,200014,200051,축제의 피 스테이크,밤 버섯,몬스터 고기
300024,200003,200003,200052,마법 꽃 스테이크,달빛 꽃,달빛 꽃
300025,200003,200004,200053,엘프의 냉기 파이,달빛 꽃,서늘 뿌리
300026,200003,200005,200054,전사의 피 리조또,달빛 꽃,당근
300027,200003,200006,200055,햇살 열풍 볶음,달빛 꽃,옥수수
300028,200003,200007,200056,별빛 눈물 수프,달빛 꽃,양파
300029,200003,200008,200057,불꽃 곡물 스테이크,달빛 꽃,감자
300030,200003,200009,200058,달조각 피자,달빛 꽃,호박
300031,200003,200010,200059,심야의 심장 구이,달빛 꽃,토마토
300032,200003,200011,200060,하늘빛 피자,달빛 꽃,밀
300033,200003,200014,200061,광기의 심장 카레,달빛 꽃,몬스터 고기
300034,200004,200004,200062,뿌리 서리 찜,서늘 뿌리,서늘 뿌리
300035,200004,200005,200063,기본 냉기 스테이크,서늘 뿌리,당근
300036,200004,200006,200064,바람 평원 파이,서늘 뿌리,옥수수
300037,200004,200007,200065,서늘 뿌리 스튜,서늘 뿌리,양파
300038,200004,200008,200066,얼음 곡물 파이,서늘 뿌리,감자
